Ticker,Ensemble_Score,XGBoost_Prob,LSTM_Prob,Both_Bullish,RSI_14,Return_20d,Volatility_20d
TYL,0.5407,0.6145,0.4505,False,-0.1,21.1,-39.1113
CCL,0.5405,0.5834,0.4881,False,0.9,160.82,48.8515
F,0.5398,0.5262,0.5564,False,-0.0,89.65,38.8497
KEY,0.5398,0.5921,0.476,False,0.5,129.01,223.2718
RF,0.5392,0.5593,0.5146,False,1.7,144.23,120.5011
GILD,0.5381,0.6028,0.4591,False,-1.1,25.15,45.0301
WELL,0.5377,0.5946,0.4682,False,-0.1,9.87,-60.6257
IVZ,0.5376,0.5664,0.5023,False,0.1,40.9,11.3558
MGM,0.5366,0.5287,0.5463,False,0.6,22.21,-10.4711
UNH,0.5364,0.5642,0.5026,False,-0.4,71.29,34.5986
IEX,0.536,0.5172,0.5589,False,-0.1,63.57,-1.2135
APH,0.5357,0.6131,0.441,False,-0.6,74.93,-1.6928
DECK,0.5354,0.5644,0.4999,False,1.4,234.96,24.9464
VRSK,0.5351,0.5133,0.5618,False,0.7,59.33,-89.0334
TDY,0.5341,0.5443,0.5217,False,-0.5,53.13,-18.1996
BRO,0.534,0.5611,0.5009,False,-0.1,72.96,-53.0015
BMY,0.5338,0.553,0.5103,False,0.9,48.48,122.4839
PNC,0.5335,0.566,0.4939,False,1.0,142.41,48.0119
SATS,0.5333,0.5833,0.4722,False,-0.4,-14.45,333.1941
ARES,0.533,0.5677,0.4905,False,0.5,39.06,32.5461
HON,0.5328,0.5013,0.5713,False,1.2,139.51,-29.4291
XEL,0.5327,0.5255,0.5414,False,2.0,77.39,-87.7159
ZBH,0.532,0.5291,0.5355,False,0.5,32.46,-47.4338
NUE,0.5319,0.5173,0.5497,False,-0.7,82.8,254.0979
VRT,0.5315,0.5549,0.5029,False,-0.1,174.71,297.5584
WFC,0.5313,0.5365,0.5248,False,1.5,189.66,168.1205
LRCX,0.531,0.5644,0.4902,False,-0.9,-32.97,82.866
MSI,0.5308,0.5828,0.4673,False,-0.5,108.43,25.514
WMT,0.5308,0.5433,0.5156,False,1.4,128.37,-63.0581
CASY,0.5308,0.5655,0.4884,False,0.2,57.67,4.6234
ELV,0.5306,0.5983,0.4478,False,-1.0,-21.88,-29.449
CMI,0.5305,0.5492,0.5076,False,0.8,148.58,58.9884
ABNB,0.5301,0.5243,0.5372,False,-0.1,-13.72,123.2433
PCAR,0.5297,0.5321,0.5267,False,0.2,123.75,65.7674
CRH,0.5297,0.5618,0.4904,False,0.2,64.68,-36.8496
CRL,0.5297,0.5292,0.5303,False,-1.0,111.58,243.517
WDAY,0.5295,0.4995,0.5662,False,-0.5,57.03,93.2106
CTAS,0.5289,0.5486,0.5049,False,-0.2,92.91,-29.9554
SWKS,0.5284,0.5763,0.4699,False,-0.6,-25.28,2.9615
BKR,0.5282,0.5208,0.5373,False,0.2,166.41,106.9683
HLT,0.5272,0.5205,0.5354,False,0.6,69.92,-49.8744
SBUX,0.5271,0.57,0.4748,False,0.7,40.53,-26.3514
PNR,0.5267,0.5631,0.4822,False,0.8,93.53,-63.6425
CAT,0.5262,0.5542,0.4919,False,0.5,69.56,83.1486
CME,0.5256,0.5001,0.5567,False,1.0,41.58,-64.4152
BK,0.5252,0.5774,0.4614,False,1.3,77.78,-63.0575
SYF,0.5251,0.5447,0.5012,False,1.1,249.43,297.1643
COF,0.5245,0.5401,0.5054,False,0.5,193.57,216.8999
APO,0.5241,0.5334,0.5126,False,0.9,243.63,153.1734
ZBRA,0.5237,0.5764,0.4594,False,0.2,52.86,-36.1001
HPQ,0.5235,0.5336,0.5112,False,-0.6,-28.44,152.4231
UHS,0.5217,0.5767,0.4545,False,-0.5,-21.38,-2.9677
IP,0.5216,0.5122,0.5329,False,0.6,55.72,-54.8322
CDW,0.5212,0.5588,0.4753,False,-2.0,-99.56,32.7725
J,0.5211,0.562,0.4711,False,-0.8,-19.89,59.1502
KR,0.5209,0.5327,0.5064,False,0.5,95.44,-41.238
NXPI,0.5207,0.5774,0.4515,False,-0.5,-51.55,51.6942
NDAQ,0.5202,0.5332,0.5043,False,1.1,121.16,-82.0167
GDDY,0.5202,0.532,0.5057,False,1.4,194.94,-6.5659
TFC,0.5201,0.5266,0.5121,False,1.1,118.12,111.7922
COP,0.5194,0.4692,0.5809,False,-0.8,-30.24,4.0417
